,subject,name,review,time,location,sentiments
10,Worth to splurge!,Yvonne L,"We booked the hotel as a special treat to us and our boys and it was totally worth it! Not only did we get to check in hours before the actual check-in time, we were also given a later checkout at no extra charge. Everyone...More",Reviewed 3 days ago ,None,Positive
11,Go if you can afford it.,Rhuari M,"First things first, the bucket list has been looked out and marina bay sands has been ticked off. The rooms and pool are amazing and almost justify the price. The building itself is awe inspiring but can be overwhelming and the celebrity restaurants in the...More",Reviewed 3 days ago ,None,Positive
12,Amazing,enjoyingtimeoff,"We cruised into Singapore and stayed at the MBS during the Grand Prix... what an awesome experience overlooking the race track and seeing the action from the infinity pool !! Our room was superb, very large and very well appointed as you would expect for...More",Reviewed 3 days ago ,"Sydney, Australia",Positive
13,"Really didn’t want to stay here, but",AmyC723,"My son was desperate to try the pool so we stayed here for two nights. 

A different experience. 

The lobby is like five different immigration offices placed in a blender and then released on the main floor. There is a long line just to check...More",Reviewed 4 days ago ,"Livingston, New Jersey",Negative
14,Simply fun!,Mark C,"Perhaps I just was looking to have fun no matter what but I truly loved my one night at the Marina Bay Sands.  Of course, it is a big tourist attraction with casino and high-end shopping.  And be warned, there are families galore.  However, it...More",Reviewed 4 days ago ,"London, United Kingdom",Positive
15,2 nights in Singapour,Grig00,"We had an amazing stay at the MBS.

First you can only appreciate the building, probably the best of Singapour. Then the room was great and service excellent. The room is quite huge, the bathroom nice, everything is there so nothing to point out. However...More",Reviewed 4 days ago ,"Paris, France",Positive
16,A Tourist Attraction,Ballakatsi,"We were able to check in early, which was great after a long flight.  Room was great and service in the restaurants and bars absolutely fine.  It is just a massive hotel and all that goes with it.  Very similar to the Las Vegas resort...More",Reviewed 4 days ago ,"Douglas, United Kingdom",Positive
17,Big and impressive,doublespresso,"Stayed 3 nights at the hotel and whilst the infinity pool was the main attraction in selecting this hotel we also wanted access to the Club room as it is much easier to get dietary requirements in a small, intimate area.  Did I say small?...More",Reviewed 5 days ago ,"Benowa, Australia",Positive
18,comfortable hotel,Marie S,"We stayed only 1night but we should have stayed at least 2-3nights.
Hotel is huge, good location. nearby the Garden. Room is nice and comfortable. nice view, also. The best was a pool.  i really love the pool.",Reviewed 5 days ago ,None,Positive
19,MR,JERRY MIKE K,speed three days. it was really an amazing place to stay.services excellent and nice place to spend family time.sure we will back for some pleasant time again..if you have planning to go to Singapore..please dont miss that place,Reviewed 5 days ago ,None,Positive
20,Iconic but flawed,Chris S,"There is no doubt that this property is stunning and has provided Singapore with a real focal point. However a property cannot be judged by looks alone it is service which counts.
We and some friends had booked 2 club rooms with lounge access. 2...More",Reviewed 5 days ago ,"London, United Kingdom",Positive
21,Wonderful stay,TedVictoria,We stayed for one night on our last night in Singapore yes this hotel is expensive but for the opportunity to swim in the infinity pool it was worth it.  We were upgraded to a suite which was huge and views over the gardens by...More,Reviewed 6 days ago ,Victoria,Positive
22,Impressive Hotel,Karen G,"We stayed here during a business trip for my husband.  Hotel is huge, impressive - a bit impersonal because of size.  Rooms are comfortable- pool is amazing!  Location is good - close to Gardens by the Bay.",Reviewed 6 days ago ,"Westlake, Ohio",Positive
23,Lovely views,Showbizboy,The hotel itself is expensive but you can visit the bar at the top with great views over the city. $20 to go up but that's also towards your drinks. (Drinks are crazy expensive too though!),Reviewed 6 days ago ,"Manchester, United Kingdom",Negative
24,Fabulous  nights at the Marina Bay Sands,Napansontheroad,"The pool - the pool - the pool!  So much fun.  Great room -- great service -- great restaurants.  We particularly loved Adrift, db and Cut.  The food was yummy and the service could not have been better.  Also enjoyed the Club.  Very gracious staff....More",Reviewed 6 days ago ,"Napa, California",Positive
25,We wanted to be there for the whole day.,davidmJ681LD,"I took tickets for me and my family and went up, to Skydeck. The lobby was like an airport. Still staffs were very supportive and we could easily find our lift. The Sky deck give a wonderful, breathtaking view of Singapore city. The pool is...More",Reviewed 6 days ago ,"Kozhikode District, India",Positive
26,Marina bay sands,Harpreet x,"When you first look at the hotel your jaw drops, the building is absolutely stunning! There are three towers with a boat sitting on top! When you approach the hotel there are many taxis you can grab but it can be extremely busy! If you...More",Reviewed 6 days ago ,None,Positive
27,One just to tick of the bucket list,Charlotte B,"***I have only given this 4 stars for the Service, the experience and the views.***
The end of the day this hotel is just one for the bucket list, get the t-shirt and don’t go back.
I like good quality but I know when I’m...More",Reviewed 6 days ago ,None,Positive
28,"Simply Amazing, The Roof Top Infinity Pool was spectacular.",DIYWINNER,"Spent two night at this fantatstic hotel mid February 2018. Had a garden view room on the 37th floor in tower 3. The views over the bay gardens and beyond where great, we even had a small balcony. The check-in process in tower 1 was...More",Reviewed 6 days ago ,Essex,Positive
29,Must do if you get the chance!,smetie,"Marina Bay Sands is a huge hotel, beautifully located at the Marina Bay. The rooms either have view of the Bay or the Gardens by the Bay. When entering the hotel, you'll see a lot of people, not only guests. At first you feel a...More",Reviewed 6 days ago ,Rotterdam,Positive
30,A beautiful machine of a hotel,nanosizedgeeks,"I expect most people thinking of going here want to experience the view from the infinity pool overlooking Singapore (and probably take a selfie)... it’s mesmerising but extremely busy at peak times so be warned. 

What is amazing about this hotel is it’s shear size...More",Reviewed 6 days ago ,"Hook, United Kingdom",Positive
31,Nice hotel but wasn't impressed.,Tansue1954,"The staff was courteous, friendly & helpful. The room was comfortable & we had a good view. The view from the pool was breathtaking but the pool itself was quite crowded. We only stayed a night but overall we had an enjoyable stay although it...More",Reviewed 6 days ago ,"Puchong, Malaysia",Positive
32,Bucket list item ticked off! ,TonyCann,"I had wanted to stay at the Marina bay ever since I first seen pictures of people in the rooftop pool and decided to treat my partner and I to a night here while visiting Singapore. 

At $600 a night it is safe to say...More",Reviewed 1 week ago ,"Liverpool, United Kingdom",Positive
33,Cheating and no bond returned!,FreDan31,We have $600 bond to be held by the hotel and they still have not returned back to us!! If you really care about your own business then you should not lie to us about 1 month returning bond! Return it,Reviewed 1 week ago ,Surfers Paradise,Positive
34,Wonderful stay & service,HendySanjaya,"Wonderful stay and service, Again.
We are back again to MBS and just like our previous stays, we love it. The customer service, food, and the room are what we always expect from MBS. This time we stayed at Tower 1, the room was spectacular,...More",Reviewed 1 week ago ,"Denpasar, Indonesia",Positive
35,SINGAPORE 2018,dramstad,"The Marina Bay Sands Hotel is a definite must to go see, explore, and experience. The Observation Deck is the perfect place to get photos of the entire city from the 57th floor elevation. The infinity pool is awesome, but you must be a guest...More",Reviewed 1 week ago ,"Anchorage, Alaska",Positive
36,A Fancy Pricy Hotel for an Overnight Stay,OrientalBeauty168,"The room that we had was spacious, tidy and luxurious. The bathroom was absolutely amazing something I would like to have someday. Everything you could ever ask for in a hotel room, MBS has it. The city view from the infinity pool is just enchanting...More",Reviewed 1 week ago ,"Metro Manila, Philippines",Positive
37,Interesting Hotel with excellent staff,anotherealm,The staff was very courteous from the concierge to the reception staff to the waiting staff. The check in was smooth and we had booked 2 Premier rooms but they gave us a family room as Premier rooms were not available. The restaurants were amazing...More,Reviewed 1 week ago ,"Chennai (Madras), India",Positive
38,"ok for one night, do it for the pool!",Allis245,"Even though I believe this hotel is extremely expensive, the rooms are luxurious and clean, but the pool is something else. It totally repays the price for one night. 
There is no shuttle to the airport, but even ealry in the morning it should be...More",Reviewed 1 week ago ,"Arlington, Texas",Neutral
39,Spectacular Pool ,shardiew,"The pool is worth the money alone it is amazing, there are plenty of sun beds, lovely fresh pool towels, waiter service everything you could want.
Our room was spacious and very comfortable with a lovely big balcony. Housekeeping was excellent and nothing too much...More",Reviewed 1 week ago ,"Ipswich, United Kingdom",Positive
40,To most money for what you get,JimZerbe,"I was asked on the Marina Bay Survey if they created Unforgettable Memories for me? To answer them I have to say Yes they did, but it was not worth the money we spent. The long lines at the curb delayed us from even arriving...More",Reviewed 1 week ago ,"Martin City, Montana",Positive
41,"Amazing pool, OK for just one night",Mayonaka,We debated on how long we wanted to stay here given the heavy price tag. So we opted it for one night - 1. given we only have 2 nights for Singapore and 2. we wanted to enjoy some sightseeing rather than spending our entire...More,Reviewed 1 week ago ,"New York City, New York",Neutral
42,Mixed feeling,seem123,"This was my first trip to this hotel. I had gone for a conference which was in the same hotel so i choose to stay here
I got my room in tower 3 and had entered from tower 1 now that was a long way...More",Reviewed 1 week ago ,"Kathmandu, Nepal",Positive
43,"Excellent Service but High Density takes away from the ""luxury feel""",98rayar,"+ Excellent Customer Service! Well Done MBS :) Have been to so many luxury hotels and your employees are very well trained to delight customers..
+ Conveniently located / Connected to EXPO, Shops and Restaurants
+ Access to Great Food Outlets - Celebrity Chefs
+...More",Reviewed 1 week ago ,"Manila, Philippines",Positive
44,Not a 5* hotel standing ,samfett,"I got very disappointed. It was my last night on my trip over Asia after Thailand and Malaysia. 
First the hotel hall is so crowded. It was insane. The queue for the checkin is just a joke : around 20 minutes. Surprise, you have to...More",Reviewed 1 week ago ,"Paris, France",Negative
45,Nice hotel but not worth the steep price,Youri8182,"The hotel is very clean, large rooms and a very nice pool but for the price don't stay here many nights. The pool is unique and everbody is in the pool with their mobiles to take pictures of the breath taking view. Prices in the...More",Reviewed 1 week ago ,"Rhoon, The Netherlands",Positive
46,Jillian ,Jillian S,"We went to look around and met a blonde English lady, I think was called Suzie, she extremely helpful and explained a lot about the high bar and also information about Singapore, the high bar is definitely worth a visit, cocktails are very nice. X",Reviewed 1 week ago ,"Manchester, United Kingdom",Positive
47,unforgettable vacation,עדי אופרי ש,"We had an amazing stay at the Marina Bay hotel in Singapore. The service is outstanding,they were extremely kind and helpful,from the waiter at the dining room to the management- everyone are willing to assist with  pleasure to any request or question. There are a...More",Reviewed 1 week ago ,None,Positive
48,Good Experience,Suchit P,"If you had to be in Singapore, you have to be in Marina Bay Sands. Everything is just around, the merlion, gardens by the bay, amazing view of the city landscape and a science museum. Not to forget the famous Infinity pool.  Plan a day...More",Reviewed 1 week ago ,"Singapore, Singapore",Positive
49,Great Cityscape ,Sarankrit S,"The tower give extravaganza view to the city, inside there were so many high end brand name shop. Should have had the power socket for battery charging area. The restaurant is limited and very crowded.",Reviewed 1 week ago ,"Bangkok, Thailand",Positive
50,Total fail,951carolinel,"We booked our boss who was visiting from overseas so he could enjoy the pool and the view. Although room was ok and dinner at Celavi was fine, he had a terrible experience, he could not have breakfast due to extremely long queue on a...More",Reviewed 1 week ago ,"Singapore, Singapore",Neutral
51,Pool makes it worth the stay,happysun16,"Dear 951carolinel,

Thank you for your valuable feedback.  

I regret to learn about the challenges that your boss encountered during his stay with us. Please allow me to assure you that your feedback is important to us, and that I have highlighted your comments regarding...More",Reviewed 1 week ago ,"San Jose, California",Positive
52,Views aplenty,owenofoz,"Rooms nicer than expected with Vegas feel.  Pool is absolutely spectacular and worth paying the room rate for at least one night.  
Check in was efficient and friendly.  We had appetizers and drinks at the lobby bar as well as up by the pool.  Great...More",Reviewed 1 week ago ,"Woy Woy, Australia",Positive
53,Fantastic Way To Spend My Birthday,Julie-AnnFrost,"Wow. It sure was a stay with a difference.
.Check in looked like it was gonna be chaos, but since we Aussies stood out amid the throng of Japanese we  were approached  and given a private and super speedy greeting . Thanks a million management....More",Reviewed 1 week ago ,United Kingdom,Positive
54,Amazing Stay,Neiltjdm,"What an amazing hotel, service was superb, rooms were lovely and big, housekeeping was faultless.  The infinity pool was awesome and the choice and quality of hotels was just perfect.

My husband arranged for a special breakfast for my birthday, it was perfect and was...More",Reviewed 1 week ago ,"Dublin, Ireland",Positive
55,Extraordinary expeirianse,centrum2018,"Besides the obvious benefits of this hotel (the building, pool and surrounding amenities), the staff were incredibly friendly and helpful. The room was amazing and offered great views. 

I would definitely recommend a stay at MBS!",Reviewed 1 week ago ,"Pavlikeni, Bulgaria",Positive
56,43rd Floor City View Room 🥂,Eri1987Eri,The pool on the roof was amazing. The house keeping  was perfect. We got a wheelchair for my husband and we were able to visit  the nice Seafood paradise restaurant with its excellent lobsters.The view from the balcony to the Gardens by the bay was...More,Reviewed 1 week ago ,None,Positive
57,"Impressive!! 1 night Only, Bucket List (checked off)",Ian D,"We checked into The Marina Bay Sands on our last day in Singapore (4th March) before heading to Thailand.
We arrived much earlier than the 2pm check in at around 10:30am..but we’re not treated any different, our bags were taken off us and we were...More",Reviewed 1 week ago ,None,Neutral
58,Fabulous views,Raelene B,"WOW WOW that's your first impression from a distance and the closer you get this piece of engineering marvel takes your breath away. Three incredible towers with this remarkable surfboard shape structure rests on top of the towers.  So your asking, Why stay here since...More",Reviewed 1 week ago ,"Adelaide, Australia",Positive
59,Amazing property - annoying internet connection,Axel S,"The only part I enjoyed about this place was the views from the Skydeck.  Such a busy place, people everywhere.  We had a drink in the Skydeck and I must say, the staff were atrocious, very bad mannered and are definitely not good ambassadors for...More",Reviewed 1 week ago ,"Canton of Lucerne, Switzerland",Negative
60,Just one night stay to experience the roof top pool,MsDMistry,"It's funny how little details like the constant disconnection from the Internet is creating an annoyance for the whole experience. It's a very old internet connection technology that turns off ever few hours.
Other than that it is an amazing place with 60 or so...More",Reviewed 1 week ago ,London,Positive
61,An odd mix ,Tomch66,"I stayed in the Marina Bay Sands on my last night in Singapore to end our 10 day trip of travelling, it was a treat. I chose to stay here just the one night to spend the last day in Singapore up on the roof...More",Reviewed 1 week ago ,None,Neutral
62,Lovely stay ,1way2017,"It’s a huge place but run very efficiently. As a business traveller you need a lobby to meet, drink and sometimes a quick meal. This place doesn’t have that. It’s an impressive set up but not for me. Sky bar is worth a visit but...More",Reviewed 1 week ago ,"Singapore, Singapore",Positive
63,Disappointing in the extreme,V9872JOkim,"Dear Tomch66,

Thank you for sharing your feedback on TripAdvisor. 

Though I am glad to read that our Team Members’ service standards exceeded your expectations, I am disappointed to learn that your visit to Marina Bay Sands was not a complete success. Please allow me...More",Reviewed 1 week ago ,"Singapore, Singapore",Neutral
64,Fabulous hotel if very crowded,Marion B,"Enjoyed our stay there. Loved the garden view and love the scent of the shower gel, shampoo & conditioner. Feels so refreshing. I thought the remote controlled curtains were fantastic as I felt like royalty. The swimming pool at the rooftop had a fantastic view...More",Reviewed 1 week ago ,Wokingham,Positive
65,Fancy and luxurious Hotel,Jayne Glezelle D,"Overrated, overpriced and terrible service. I've stayed in lots of hotels but this one takes the cake for being overrated and overpriced. Asian hotels are usually renowned for exceptional service. This place is only one step better than rude. There are lots of exceptional hotels...More",Reviewed 1 week ago ,"Honolulu, Hawaii",Neutral
66,Best Hotel experience ever,Richard T,"Dear V9872JOkim,

Thank you for your valuable feedback. 

I am disheartened to learn that your stay with us was not a success. Please rest assured that service is a top priority for us, and that I have highlighted your comments regarding the service challenges that...More",Reviewed 1 week ago ,"Brighton and Hove, United Kingdom",Positive
67,Hotel stay,Chong P,We stayed in this hotel for five nights in a King View Club room on the 35th floor.  The room is large with good views over the bay and city from the bedroom/lounge area and views out over the Gardens by the Bay and the...More,Reviewed 1 week ago ,"Singapore, Singapore",Positive
68,Great Location,peacelover10000,"Marina Bay Sands is indeed a spectacular hotel in Singapore, aside from it's architectural design that wows tourist all around the world, they're also famous in their infinity pool in which is located at the 57th floor or the top most part of the hotel...More",Reviewed 1 week ago ,"New Delhi, India",Positive
69,What wonderful hotel and conference facility,RafiquesRoad,"Yes it's busy, yes it's brash but what an experience. Stayed pretty high up on the 37th floor with outstanding views. Great room, lovely bedlinen, loads of space, good AC, nothing really to fault.
Breakfasts were outstanding as were all restaurants (we tried 6). The...More",Reviewed 1 week ago ,"Nassau, New Providence Island",Positive
70,"Amazing, stunning, noisy air con in room",Tobers,"This hotel sure was just a gambling hotel without any personalised service at all. Overly priced especially the club room and package include complimentary breakfast, high tea and evening cocktails & lounge but the food was ordinary not worth the money. As for service wise...More",Reviewed 1 week ago ,"London, United Kingdom",Positive
71,Great Stay,Cy H,"Dear Chong P,

Thank you for taking the time to share your valued feedback on TripAdvisor.

I regret to learn about the challenges that you encountered during your stay with us. Please allow me to assure you that it is never our intention to cause...More",Reviewed 1 week ago ,None,Neutral
72,You cannot top this ,Christian F,"Great infrastructure and probably the best hotel to stay in Singapore. It is huge and the location is too good if you wish to enjoy your stay in Singapore. Everything is so easily accessible. Surrounded by Gardens By the bay, Singapore Flyer and Singapore Harbor,...More",Reviewed 1 week ago ,"Rothenbuch, Germany",Positive
73,Our fantastic view hotel,Carmen M,"Was there last week for a business conference and thoroughly enjoyed this hotel, conveniently connected underground to the convention centre with a huge shopping centre attached as well its truly a self contained conference location, and i really loved the roof top infinity pool on...More",Reviewed 2 weeks ago ,"Perth, Australia",Positive
74,Well worth it!,staceholcombe,"What a stunning hotel. It’s ludicrous really - three huge towers, and then they stuck a huge banana shaped slab on top and put an infinity pool, 4 restaurants, and a couple of bars on top. Oh, and some jacuzzis as well. Completely crazy, but...More",Reviewed 2 weeks ago ,"Crawley, United Kingdom",Positive
75,Felt too expensive for what it is,dekalb3,"My partner and I stayed at The Marina Bay Sands in February 2018 for two nights, it was one of the places to visit on my travel list.  On arrival it felt like i had arrived at a huge shopping mall, mob of people waiting...More",Reviewed 2 weeks ago ,"atlanta, GA",Positive
76,It’s a wow wow experience,PabloSardi,"We booked a club room for an additional fee and must say:
Worth every nickel!
Check in in a separate lobby fùr club members, no waiting!
Superb bed, bath, balcony and so on and so on.
Most incredible is the pool on the rooftop with...More",Reviewed 2 weeks ago ,"Bogota, Colombia",Positive
77,Expensive dated property which can have long queues,SukhwantLamba,"Location of this hotel was located at the foot of the Singapore Gardens, accessible by a foot bridge.  Our room was spacious, clean, providing plenty of tea and coffee and toiletries.  We had a spacious balcony with a panorama view of the gardens below, we...More",Reviewed 2 weeks ago ,"Orlando, Florida",Positive
78,"The Pool, right?",Tansendoc,"I stayed with my fiancé for one night after attending a conference in Singapore just to experience the hotel after having it on our bucket list for years!

We had a large club room with king size bed over looking the city. This was ready...More",Reviewed 2 weeks ago ,"Auckland Region, New Zealand",Positive
79,Stunning Views and exxellent service,MarzAttack69,"I really wish I could be more positive, especially as my friend and I were looking extremely forward to our stay at MBS for over a year. 

Upon check-in I was told that my room was on the 17th floor and ""facing the shopping center...More",Reviewed 2 weeks ago ,"Melbourne, Australia",Positive
80,Not for business visit,Lei S,"It’s an iconic building in Singapore. Really recommended for pleasure or business since you can basically live walking distance. 

The roof top it was very cool and unique. 

Bring your shoes and run around the bay. 

It’s a wow wow experience.",Reviewed 2 weeks ago ,None,Positive
81,Nice hotel,colmanLondon,Its expebsive long queues property whether check in or breakfast in the morning.  Their swimming pool is certainly sought after. But other than that the property and the rooms are very basic. They won't even get you basic cookies for free. One suggestion they shouldn't...More,Reviewed 2 weeks ago ,"Hockliffe, United Kingdom",Positive
82,At least visit the rooftop deck and the giant trees!,Mayan46,"Stayed here for three nights, for a conference at the adjoining venue. Standard deluxe room on 50th floor, facing the harbor. Great sunrises on the harborside, and glittery lights on the cityside from the spectacular rooftop pool. The service was superb from all the employees...More",Reviewed 2 weeks ago ,"Madison, Connecticut",Positive
83,The best hotel I've ever stayed at.,Sidneiensis,My wife and i celebrated our wedding anniversary at Marina Bay Sands. Check In was quick and easy although we did see it get busy a while later. We were given room 4101 which had city views and what fantastic views they are. The observation...More,Reviewed 2 weeks ago ,"Sydney, Australia",Positive
84,Fantastic Hotel in Every respect!,Khalil H,This is simply not a biz hotel. Lousy room conditions. Long queue for breakfast unless you get up really early. I waited 20min this morning. A long walk to the meeting venue and fairly hot.  Tourists trespassing everywhereMore,Reviewed 2 weeks ago ,Kinshasa,Neutral
85,"WOW experience - Beautiful, first class luxury and attentive staff",JimSanDieg0,"Dear Lei S,

Thank you for your valued feedback. 

I regret to learn that your recent stay with us was not a success. Please allow me to assure you that your feedback is important to us, and that I have highlighted your comments regarding your...More",Reviewed 2 weeks ago ,"San Diego, California",Positive
86,A cash machine not suitable for productivity.,rvittoria90,"Had a great stay. Hotel is a little oversized, very much American theme. This was fine for us, but if if you want something a little more authentic, maybe not for you. Swimming pool can’t be beaten, as can’t the bars by the pool.",Reviewed 2 weeks ago ,"Bangkok, Thailand",Positive
87,Very pricey but iconic,cjlufc10,"We only had one day in Singapore but had to see the Marina Bay Sands hotel and the giant trees park.  Easy access from downtown, unable to use pool without an expensive room but enjoyed the amazing view from the rooftop observation deck.  Enjoyed the...More",Reviewed 2 weeks ago ,"Doncaster, United Kingdom",Positive
88,Amazing,pshah99,It's an iconic hotel and was on the bucket list. We stayed at a room on the 55th floor at Marina Bay Sands. The room has very high ceilings and the bathrooms are enormous. We had a gorgeous balcony with view of the Gardens by...More,Reviewed 2 weeks ago ,"Johannesburg, South Africa",Positive
89,Awesome Experience,Derek S,"We stayed at the Marina Bay Sands for a conference.  Though I typically detest monstrous properties, the facilities outweighed the size of the establishment.  

Location was central, but the major advantage is that it is connected to the convention centre.

Concerning the stay, the facilities...More",Reviewed 2 weeks ago ,"Hamilton, United Kingdom",Neutral
90,"Great hotel, tacky pool!",Flippo68,"The Marina Bay Sands is one of the ""Hotel Wonders of the World"".  From the incredible architecture, both from the outside and within the hotel, to the world class restaurants, the signature spa and the otherworldly vanishing edge pool on the 57th floor (150 meters...More",Reviewed 2 weeks ago ,Camaiore,Positive
91,Amazing infinity pool and great shopping center,michelleB9970JK,"Internet is not working, there are multiple javascript errors in their wifi login page. As a result you cannot complete the choice of the plan and connect. The IT team fixes this for few hours and then you need call them again and wait 30...More",Reviewed 2 weeks ago ,"Zurich, Switzerland",Neutral
92,Wonderful,Farhad B,"Dear rvittoria90,

Thank you for your valued feedback. 

I regret to learn about the challenges that you encountered during your stay with us. Please allow me to assure you that it is never our intention to cause our guests unnecessary stress or inconvenience, and that...More",Reviewed 2 weeks ago ,None,Negative
93,everything is just fantastic...,Frank-n-Paula,We stayed a single night in a club room before flying back to the UK the following day. The hotel is a world renowned landmark of Singapore set majestically at the front of the bay. Unfortunately this brings the only two downfalls I could think...More,Reviewed 2 weeks ago ,Perth,Negative
94,"The one and only, unless...",macaiwar,"Right from checkin to the room, and everything in between was great.

The room was great, I had to wait a little to get the room as I was early.

The pool is just amazing and the entire area is great.

Plenty of restaurants to...More",Reviewed 2 weeks ago ,"Kuala Lumpur, Malaysia",Positive
95,To busy to full,yogi_syd,Large hotels are really not our scene but we made an exception for the Marina Bay. The whole stay was phenomenal. Our Premier room on the 44th floor with City View was just incredible. My wife and I agreed that it was the most impressive...More,Reviewed 2 weeks ago ,"Sydney, Australia",Positive
96,Staycation ,NGO A,"This is the new landmark of Singapore and I have to admit that it is one of the best pieces of modern architecture I have ever seen. Had been wanting to stay at this hotel for a long time, mostly (like everyone who stays there)...More",Reviewed 2 weeks ago ,"Singapore, Singapore",Positive
97,The pool makes the visit worth it,jdrieber,This attractive hotel convinced me with its friendly staff and beautiful infinity pool. It is quite expensive but worth a visit if you only stay for a couple of nights. We checked in on Valentines Day and I got a rose which is just a...More,Reviewed 2 weeks ago ,"New York City, New York",Positive
98,"Very expensive! But nice, city view better",shan9,"Must experience Hotel. Wonderful Rooms, great breakfast and other facilities. I stayed at this hotel for 2 days. Staff and service are friendly and satisfying. Rooms are spacious. It took me 45 minutes to check in.",Reviewed 2 weeks ago ,"Gold Coast, Australia",Positive
99,A spectacular 2nd visit,wanderlist10,"visit for the view, the romanticism, the drinks, the atmosphere and just about anything else you may want...a must place to visit and spend quality time relaxing enjoying the view and the service provided by the staff",Reviewed 2 weeks ago ,"West Midlands, United Kingdom",Positive
100,Colossal Tourist Mecca,TravelingJ2014,"A major hotel like this ought to adapt to locals' behavior.  The strangest thing about some international hotels, even in Singapore, is the absence of a bidet in the toilet. A simple hand bidet would have been a quick and easy adaptation.  But I suppose...More",Reviewed 2 weeks ago ,"Toronto, Canada",Positive
101,Definitely one of the attractions in town,Ksksksksks,"We did stay as a stopover. Not our first time in Singapore.

Marina Bay Sands is famous for its infinity pool and view.

We arrived and check in/checkout was easy. We could not find our room. We were given terrible instructions on where to find...More",Reviewed 2 weeks ago ,None,Neutral
102,Definitely worth a visit - once in a lifetime experience!,kristi132,Check in was crowded - somewhat expected as the hotel is very popular with tourists n locals.  But service was quick.  Room was spacious.  Room faces the Gardens.  Nice view at night.  Quiet environment.  Prompt service from housekeeping.  Enough eating outlets to cater for variety...More,Reviewed 2 weeks ago ,"Antibes, France",Positive
103,"Its like a 5-Star hotel in Las Vegas, with a view to DIE FOR",Cindy K,"While quite expensive, a visit to the Marina Bay Sands should be on everyone’s bucket list.

The pool was unlike anything I’d ever seen.  Amazing views and very relaxing.  I’d recommend a night there for anyone, whether passing through or in Singapore for a longer...More",Reviewed 2 weeks ago ,"San Francisco, California",Positive
104,"Beautiful hotel, excellent service ",EricPerlinger1,"We stayed here 2 nights and paid extra to have access to club 55 and breakfast included.
The hotel is great, nice tidy, clean but very pricey. Pool again is great but because we paid so much for the room nearly $1000 Singapore a night...More",Reviewed 2 weeks ago ,"Montreal, Canada",Positive
105,6 day conference - amazing ,Bruno D,"I visited MBS back in 2013, and although it was good, it wasn't great. I'm pleased to say that myself and my partner enjoyed a much better stay this time around, and we are already making plans to return.

Our check-in experience was quick and...More",Reviewed 2 weeks ago ,"Perth, Australia",Positive
106,Mixed feelings,r_yeu,"We stayed at this hotel for over a week and had a stellar time.   The hotel is conveniently located close to Gardens by the Bay, and right on Marina Bay surrounded by incredible shopping, and top notch restaurants.  

What cannot be overstated is the jaw...More",Reviewed 2 weeks ago ,"Toronto, Canada",Positive
